service_id,date,exception_type
WE,20170102,1
WD,20170102,2
WE,20170529,1
WD,20170529,2
WE,20170704,1
WD,20170704,2
WE,20170904,1
WD,20170904,2
WE,20171123,1
WD,20171123,2
WE,20171225,1
WD,20171225,2
WE,20180101,1
WD,20180101,2
WE,20180528,1
WD,20180528,2
WE,20180704,1
WD,20180704,2
WE,20180903,1
WD,20180903,2
WE,20181122,1
WD,20181122,2
WE,20181225,1
WD,20181225,2
WE,20190101,1
WD,20190101,2
WE,20190527,1
WD,20190527,2
WE,20190704,1
WD,20190704,2
WE,20190902,1
WD,20190902,2
WE,20191128,1
WD,20191128,2
WE,20191225,1
WD,20191225,2
WE,20200101,1
WD,20200101,2
WE,20200525,1
WD,20200525,2
WE,20200703,1
WD,20200703,2
WE,20200907,1
WD,20200907,2
WE,20201126,1
WD,20201126,2
WE,20201225,1
WD,20201225,2
